,,Eastern Cape,,Free State,,Gauteng,,KwaZulu-Natal,,Limpopo,,Mpumalanga,,North West,,,Northern Cape,,Western Cape,,Out of Country,,Total,
Party Name,Abbr,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes
#HOPE4SA,#HOPE4SA,1942,0.0010736672869831939,2339,0.0028131746537654323,8986,0.002238604999816896,3911,0.001112018442844356,1041,0.0007278783708949339,1599,0.0013853763519115854,1408,0.0015750303987578738,,1622,0.004076851926325103,4295,0.0021574956774737357,73,0.001867771978303142,27216,0.0016928171335784236
ABANTU BATHO CONGRESS,ABC,485,0.000268140388355741,352,0.0004233593322468714,599,0.00014922372522705547,2844,0.0008086372926232034,261,0.00018249400077192864,246,0.00021313482337101316,305,0.0003411820110945678,,120,0.00030161666532614817,318,0.00015974007577104727,1,2.5585917511001945e-05,5531,0.00034402452843262276
ABLE LEADERSHIP,AL,322,0.00017802310319700744,125,0.0001503406719626674,472,0.00011758530602198696,396,0.00011259506606145871,1818,0.0012711651088251582,281,0.0002434588836067264,189,0.0002114209839241748,,80,0.00020107777688409877,184,9.24282199429959e-05,0,0,3867,0.00024052483302277204
ACTION ALLIANCE DEVELOPMENT PARTY,AADP,195,0.00010780902212241134,96,0.00011546163606732857,2616,0.000651701611342199,471,0.00013391988917915923,3593,0.002512264156220458,277,0.00023999327672264488,202,0.00022596316800361542,,46,0.00011561972170835679,284,0.00014266094817288498,22,0.0005628901852420428,7802,0.0004852792209060428
ACTIONSA,ACTIONSA,8372,0.0046286006831221934,4468,0.005373776978633583,129973,0.0323790571601604,10367,0.002947659216816016,9094,0.006358622387049499,5738,0.004971413075214932,11961,0.01337992798262992,,1989,0.0049992962277809055,9195,0.0046188993607383004,1172,0.029986695322894278,192329,0.011962736128894938
AFRICA AFRICANS RECLAIM,AAR,302,0.00016696576759470884,179,0.00021528784225053973,911,0.00022694960547887737,897,0.00025504488448769815,216,0.0001510295178802168,228,0.00019753959239264632,208,0.00023267494527104952,,77,0.00019353736025094507,348,0.000174809894240014,4,0.00010234367004400778,3370,0.0002096117629394212
AFRICA RESTORATION ALLIANCE,ARA,253,0.00013987529536907729,180,0.00021649056762624105,1178,0.0002934650222328403,674,0.00019163907708440194,319,0.00022304822316569057,188,0.00016288352355183118,391,0.00043738415192779025,,419,0.0010531448564304673,7500,0.003767454617241681,5,0.00012792958755500973,11107,0.0006908480269935167
AFRICAN CHRISTIAN DEMOCRATIC PARTY,ACDP,8323,0.004601510210896562,3684,0.004430840284083734,31959,0.00796167117617941,11822,0.003361360785299406,4499,0.0031457490784402567,5012,0.004342405425754137,3651,0.004084116467233663,,1573,0.003953691787983592,25761,0.012940453119301724,287,0.007343158325657558,96571,0.006006652094606185
AFRICAN CONGRESS FOR TRANSFORMATION,ACT,859,0.00047491256411872485,11589,0.01393838437900282,2260,0.0005630143890035817,1023,0.000290870587325435,233,0.0001629161003059746,419,0.0003630223211075386,1339,0.0014978449601823814,,356,0.0008947961071342395,275,0.00013814000263219495,1,2.5585917511001945e-05,18354,0.001141606616317548
AFRICAN CONTENT MOVEMENT,ACM,276,0.00015259123131172066,2909,0.003498728117915196,767,0.0001910761222857288,498,0.0001415968255015314,144,0.00010068634525347787,149,0.00012909385643203642,163,0.0001823366157652936,,62,0.00015583527708517655,138,6.932116495724693e-05,1,2.5585917511001945e-05,5107,0.00031765200989068964
AFRICAN HEART CONGRESS,AHC,3169,0.001752034826184213,1104,0.0013278088147742784,3962,0.0009870190306337126,2097,0.0005962420543709063,1809,0.0012648722122468158,1259,0.0010907997667646567,1641,0.0018356710826432322,,459,0.0011536837448725167,806,0.000404875789532906,1,2.5585917511001945e-05,16307,0.0010142845751493002
AFRICAN INDEPENDENT CONGRESS,AIC,4043,0.0022352403920046617,1230,0.0014793522121126473,4501,0.001121295471196956,2836,0.0008063626448239821,1882,0.0013159145956044816,1610,0.0013949067708428095,1926,0.002154480502846353,,683,0.0017167015201479932,1188,0.0005967648113710823,0,0,19899,0.001237704590721526
AFRICAN MOVEMENT CONGRESS,NO_ABBR,175,9.675168652011274e-05,98,0.00011786708681873124,286,7.124872356417007e-05,765,0.00021751319580054523,351,0.0002454229665553523,103,8.9239377265099e-05,185,0.0002069464657458854,,20,5.026944422102469e-05,150,7.534909234483362e-05,8,0.00020468734008801556,2141,0.00013316877876952545
AFRICAN NATIONAL CONGRESS,ANC,1130010,0.6247449901976719,439700,0.5288383476958789,1463758,0.36465345841553304,619531,0.1761518532124282,1061696,0.7423492361821975,598952,0.5189330436085978,523203,0.585270333608889,,196146,0.4930075203088555,424756,0.21336652712014764,1532,0.03919762562685498,6459284,0.40176317702266956
AFRICAN PEOPLE'S CONVENTION,APC,1738,0.0009608824638397482,603,0.0007252434015479075,2283,0.0005687441814580429,1174,0.0003338045645357387,2558,0.0017885810497110862,3105,0.0026901773437682758,673,0.000752837683497194,,213,0.000535369580953913,847,0.0004254712081071605,1,2.5585917511001945e-05,13195,0.0008207202409453005
AFRICAN PEOPLE'S MOVEMENT,APEMO,205,0.00011333768992356064,160,0.0001924360601122143,253,6.302771699907352e-05,3586,0.0010196108760009872,60,4.195264385561578e-05,113,9.790339447530278e-05,60,6.71177726743412e-05,,37,9.299847180889568e-05,127,6.379556485195913e-05,0,0,4601,0.00028617914578168453
AFRICAN TRANSFORMATION MOVEMENT,ATM,26810,0.014822358374881273,5512,0.0066294222708657815,11253,0.0028033632386979222,6759,0.0019217930593671702,1148,0.0008026939191041152,4620,0.004002775951114149,1298,0.001451981148854915,,323,0.0008118515241695487,5800,0.0029134982373335665,31,0.0007931634428410603,63554,0.003953016611825512
AL JAMA-AH,ALJAMA,1076,0.0005948846554036647,226,0.0002718159349085027,11413,0.002843222664468087,5150,0.0014643045207487686,231,0.00016151767884412075,476,0.00041240721920570025,685,0.0007662612380320621,,148,0.00037199388723558273,19564,0.009827530950895499,99,0.0025330058335891925,39068,0.002430003666028875
ALL CITIZENS PARTY,ACP,263,0.00014540396317022658,385,0.0004630492696450156,808,0.0002012901001393336,410,0.00011657569971009614,594,0.00041533117417059625,279,0.00024172608016468565,360,0.0004027066360460473,,111,0.00027899541542668706,478,0.0002401124409388698,3,7.675775253300584e-05,3691,0.00022957774985442247
ALLIANCE OF CITIZENS FOR CHANGE,A.C.C.,1735,0.0009592238634994034,488,0.0005869299833422536,1370,0.0003412963331570384,1381,0.0003926610763405921,850,0.0005943291212878902,768,0.0006653965217436508,574,0.0006420933585845309,,186,0.00046750583125552964,1976,0.0009925987098226082,5,0.00012792958755500973,9333,0.0005805064046034475
ALLIED MOVEMENT FOR CHANGE,AM4C,1357,0.00075024022061596,1173,0.0014107968656976709,3956,0.0009855243021673313,6550,0.0018623678856125115,1565,0.001094264793900645,1563,0.0013541858899548517,1259,0.001408354596616593,,539,0.0013547615217566155,4071,0.0020449743662387843,24,0.0006140620202640467,22057,0.0013719307582061762
AZANIAN PEOPLE'S ORGANISATION,AZAPO,4366,0.002413816361981784,1315,0.0015815838690472611,4433,0.001104355215244636,2105,0.0005985167021701277,2849,0.0019920513724108226,1343,0.0011635775113303685,1177,0.00131662697396166,,521,0.0013095190219576931,915,0.00045962946330348507,24,0.0006140620202640467,19048,0.0011847729556291083
BUILD ONE SOUTH AFRICA WITH MMUSI MAIMANE,BOSA,4480,0.0024768431749148862,2676,0.003218493105376784,31477,0.007841594656046787,5019,0.0014270571630365183,4080,0.0028527797821818733,2637,0.0022847013383307385,3746,0.0041903862739680366,,909,0.0022847462398455725,10330,0.005189040826147542,565,0.014456043393716098,65919,0.00410011804190021
CITIZANS,CITIZANS,362,0.00020013777440160463,168,0.000202057863117825,639,0.00015918858166959676,851,0.00024196565964217516,268,0.00018738847588841716,245,0.00021226842164999277,196,0.0002192513907361813,,57,0.00014326791602992038,202,0.00010147011102437593,4,0.00010234367004400778,2992,0.0001861004138619431
